6896079306bb3295567610c1|170339|对子全包|200.0|{"SS0001":200.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:02
6896079406bb3295567610c3|170339|218|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:04
6896079406bb3295567610c4|170339|812|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:04
6896079406bb3295567610c5|170339|182|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:04
6896079406bb3295567610c6|170339|128|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:04
6896079406bb3295567610c7|170339|281|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:04
6896079406bb3295567610c8|170339|821|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:04
689607a406bb3295567610ca|170339|015|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610cb|170339|026|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610cc|170339|028|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610cd|170339|046|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ce|170339|049|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610cf|170339|051|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d0|170339|059|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d1|170339|062|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d2|170339|064|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d3|170339|067|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d4|170339|068|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d5|170339|076|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d6|170339|078|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d7|170339|079|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d8|170339|082|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610d9|170339|086|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610da|170339|087|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610db|170339|094|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610dc|170339|095|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610dd|170339|097|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610de|170339|105|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610df|170339|123|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e0|170339|125|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e1|170339|132|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e2|170339|138|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e3|170339|150|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e4|170339|152|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e5|170339|157|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e6|170339|159|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e7|170339|175|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e8|170339|178|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610e9|170339|183|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ea|170339|187|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610eb|170339|195|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ec|170339|206|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ed|170339|208|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ee|170339|213|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ef|170339|215|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
