689755a506bb329556767a97|170339|555|20.0|{"SS0001":20.0}|{"SS0001":0.091,"xx01":0}|2025-08-09 22:05:24
689755af06bb329556767a99|170339|467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:05:35
689755af06bb329556767a9a|170339|267|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:05:35
689755af06bb329556767a9b|170339|组选467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:05:35
689755af06bb329556767a9c|170339|组选267|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:05:35
689755b506bb329556767a9e|170339|组选012|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:05:41
689755d706bb329556767aa0|170339|组选013|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa1|170339|组选015|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa2|170339|组选023|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa3|170339|组选035|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa4|170339|组选038|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa5|170339|组选134|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa6|170339|组选145|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa7|170339|组选234|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa8|170339|组选345|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aa9|170339|组选126|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aaa|170339|组选156|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aab|170339|组选168|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aac|170339|组选236|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aad|170339|组选256|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aae|170339|组选268|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aaf|170339|组选568|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab0|170339|组选127|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab1|170339|组选157|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab2|170339|组选178|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab3|170339|组选237|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab4|170339|组选257|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab5|170339|组选278|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab6|170339|组选578|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab7|170339|组选139|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab8|170339|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ab9|170339|组选239|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aba|170339|组选359|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767abb|170339|组选016|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767abc|170339|组选017|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767abd|170339|组选146|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767abe|170339|组选147|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767abf|170339|组选169|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac0|170339|组选179|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac1|170339|组选026|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac2|170339|组选027|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac3|170339|组选246|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac4|170339|组选247|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac5|170339|组选267|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac6|170339|组选269|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac7|170339|组选279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
