689b5a102486dfb21a4a8f9f|170344|豹子全包|100.0|{"SS0001":100.0}|{"SS0001":0.08,"xx01":0}|2025-08-12 23:13:20
689b5a3d2486dfb21a4a8fa1|170344|豹子全包|20.0|{"SS0001":20.0}|{"SS0001":0.08,"xx01":0}|2025-08-12 23:14:05
689b5a562486dfb21a4a8fa3|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fa4|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fa5|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fa6|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fa7|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fa8|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fa9|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8faa|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fab|170344|999|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a562486dfb21a4a8fac|170344|000|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-12 23:14:30
689b5a5d2486dfb21a4a8fae|170344|113|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-08-12 23:14:37
689b5a5d2486dfb21a4a8faf|170344|252|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-08-12 23:14:37
689b5a5d2486dfb21a4a8fb0|170344|797|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-08-12 23:14:37
