689f3ed12486dfb21a4b99fe|170339|555|20.0|{"SS0001":20.0}|{"SS0001":0.091,"xx01":0}|2025-08-15 22:06:09
689f3eda2486dfb21a4b9a00|170339|909|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a01|170339|906|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a02|170339|929|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a03|170339|790|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a04|170339|146|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a05|170339|839|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a06|170339|689|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a07|170339|915|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a08|170339|467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a09|170339|619|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a0a|170339|719|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a0b|170339|487|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a0c|170339|383|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a0d|170339|626|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a0e|170339|组选099|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a0f|170339|组选069|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a10|170339|组选299|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a11|170339|组选079|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a12|170339|组选146|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a13|170339|组选389|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a14|170339|组选689|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a15|170339|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a16|170339|组选467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a17|170339|组选169|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a18|170339|组选179|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a19|170339|组选478|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a1a|170339|组选338|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3eda2486dfb21a4b9a1b|170339|组选266|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:06:18
689f3f052486dfb21a4b9a1d|170339|238|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a1e|170339|236|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a1f|170339|428|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a20|170339|230|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a21|170339|组选238|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a22|170339|组选236|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a23|170339|组选248|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f052486dfb21a4b9a24|170339|组选023|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:01
689f3f132486dfb21a4b9a26|170339|937|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:15
689f3f132486dfb21a4b9a27|170339|789|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:15
689f3f132486dfb21a4b9a28|170339|630|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:15
689f3f132486dfb21a4b9a29|170339|279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:15
689f3f132486dfb21a4b9a2a|170339|679|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-15 22:07:15
