68a3358c2486dfb21a4cdb06|170339|555|20.0|{"SS0001":20.0}|{"SS0001":0.091,"xx01":0}|2025-08-18 22:15:40
68a3359b2486dfb21a4cdb08|170339|909|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb09|170339|906|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb0a|170339|929|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb0b|170339|790|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb0c|170339|146|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb0d|170339|839|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb0e|170339|689|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb0f|170339|915|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb10|170339|467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb11|170339|619|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb12|170339|719|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb13|170339|487|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb14|170339|383|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb15|170339|626|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb16|170339|组选099|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb17|170339|组选069|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb18|170339|组选299|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb19|170339|组选079|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb1a|170339|组选146|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb1b|170339|组选389|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb1c|170339|组选689|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb1d|170339|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb1e|170339|组选467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb1f|170339|组选169|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb20|170339|组选179|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb21|170339|组选478|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb22|170339|组选338|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a3359b2486dfb21a4cdb23|170339|组选266|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:15:54
68a335b82486dfb21a4cdb25|170339|组选013|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb26|170339|组选023|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb27|170339|组选034|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb28|170339|组选123|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb29|170339|组选134|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb2a|170339|组选137|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb2b|170339|组选234|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb2c|170339|组选237|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
