68a73f132486dfb21a4e3943|170344|豹子全包|100.0|{"SS0001":100.0}|{"SS0001":0.08,"xx01":0}|2025-08-21 23:45:22
68a73f182486dfb21a4e3945|170344|888|60.0|{"SS0001":60.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e3947|170344|000|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e3948|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e3949|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e394a|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e394b|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e394c|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e394d|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e394e|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e394f|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f182486dfb21a4e3950|170344|999|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:45:28
68a73f402486dfb21a4e3952|170344|774|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-08-21 23:46:08
68a73f402486dfb21a4e3954|170344|477|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-21 23:46:08
68a73f662486dfb21a4e3956|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e3957|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e3958|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e3959|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e395a|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e395b|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e395c|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
68a73f662486dfb21a4e395d|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-21 23:46:46
