68b1bcf02486dfb21a509c41|170344|豹子全包|20.0|{"SS0001":20.0}|{"SS0001":0.08,"xx01":0}|2025-08-29 22:45:04
68b1be0a2486dfb21a509c43|170344|000|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c44|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c45|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c46|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c47|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c48|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c49|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c4a|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c4b|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
68b1be0a2486dfb21a509c4c|170344|999|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 22:49:46
