68b1c0b02486dfb21a509ebc|170344|豹子全包|40.0|{"SS0001":40.0}|{"SS0001":0.08,"xx01":0}|2025-08-29 23:01:04
68b1c0cf2486dfb21a509ebe|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ebf|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec0|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec1|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec2|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec3|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec4|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec5|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec6|170344|999|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0cf2486dfb21a509ec7|170344|000|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:35
68b1c0d42486dfb21a509ec9|170344|000|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509eca|170344|111|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ecb|170344|222|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ecc|170344|333|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ecd|170344|444|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ece|170344|555|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ecf|170344|666|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ed0|170344|777|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ed1|170344|888|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d42486dfb21a509ed2|170344|999|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:40
68b1c0d62486dfb21a509ed4|170344|777|4.0|{"SS0001":4.0}|{"SS0001":0.091,"xx01":0}|2025-08-29 23:01:42
