68b5b9b32486dfb21a516f07|170344|111|60.0|{"SS0001":60.0}|{"SS0001":0.091,"xx01":0}|2025-09-01 23:20:19
68b5b9c82486dfb21a516f09|170344|组六14679|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f0a|170344|组三14679|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f0c|170344|674|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f0d|170344|174|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f0e|170344|414|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f0f|170344|141|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f10|170344|组选467|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f11|170344|组选147|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f12|170344|组选144|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f13|170344|组选114|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f15|170344|445|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f16|170344|446|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f17|170344|449|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f18|170344|454|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f19|170344|455|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f1a|170344|464|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f1b|170344|466|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f1c|170344|494|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f1d|170344|499|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f1e|170344|544|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f1f|170344|545|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f20|170344|554|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f21|170344|556|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f22|170344|559|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f23|170344|565|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f24|170344|566|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f25|170344|595|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f26|170344|599|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f27|170344|644|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f28|170344|646|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f29|170344|655|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f2a|170344|656|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f2b|170344|664|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f2c|170344|665|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f2d|170344|669|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f2e|170344|696|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f2f|170344|699|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f30|170344|944|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f31|170344|949|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f32|170344|955|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f33|170344|959|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f34|170344|966|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
68b5b9c82486dfb21a516f35|170344|969|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-01 23:20:40
