68c2de572486dfb21a541216|170344|豹子全包|20.0|{"SS0001":20.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:36:07
68c2de6a2486dfb21a541218|170344|000|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a541219|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a54121a|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a54121b|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a54121c|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a54121d|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a54121e|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a54121f|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a541220|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de6a2486dfb21a541221|170344|999|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-11 22:36:26
68c2de8e2486dfb21a541223|170344|227|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:02
68c2de8e2486dfb21a541224|170344|722|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:02
68c2de8e2486dfb21a541225|170344|272|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:02
68c2de8e2486dfb21a541226|170344|277|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:02
68c2de8e2486dfb21a541227|170344|772|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:02
68c2de8e2486dfb21a541228|170344|727|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:02
68c2dec72486dfb21a54122a|170344|对子44|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-11 22:37:59
