68c6db432486dfb21a54e989|170344|独胆4|30.0|{"SS0001":30.0}|{"SS0001":0.08,"xx01":0}|2025-09-14 23:12:02
68c6dbc52486dfb21a54e98b|170344|000|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e98c|170344|111|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e98d|170344|222|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e98e|170344|333|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e98f|170344|444|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e990|170344|555|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e991|170344|666|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e992|170344|777|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e993|170344|888|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
68c6dbc52486dfb21a54e994|170344|999|2.0|{"SS0001":2.0}|{"SS0001":0.091,"xx01":0}|2025-09-14 23:14:12
