68cace622486dfb21a55c365|170344|222|20.0|{"SS0001":20.0}|{"SS0001":0.091,"xx01":0}|2025-09-17 23:06:09
68cace8a2486dfb21a55c367|170344|132|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:06:50
68cace8a2486dfb21a55c368|170344|135|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:06:50
68cace8a2486dfb21a55c369|170344|组选123|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:06:50
68cace8a2486dfb21a55c36a|170344|组选135|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:06:50
68cacec12486dfb21a55c36c|170344|052|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c36d|170344|152|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c36e|170344|452|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c36f|170344|952|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c370|170344|752|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c371|170344|852|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c372|170344|组选025|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c373|170344|组选125|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c374|170344|组选245|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c375|170344|组选259|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c376|170344|组选257|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c377|170344|组选258|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
68cacec12486dfb21a55c379|170344|202|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:45
