68dbf670b8a2ee918983bf25|170344|111|60.0|{"SS0001":60.0}|{"SS0001":0.091,"xx01":0}|2025-09-30 23:25:35
68dbf676b8a2ee918983bf27|170339|459|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf28|170339|726|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf29|170339|830|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf2a|170339|347|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf2b|170339|组选459|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf2c|170339|组选267|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf2d|170339|组选038|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf676b8a2ee918983bf2e|170339|组选347|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:42
68dbf678b8a2ee918983bf30|170339|组六01245|40.0|{"SS0001":40.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:44
68dbf678b8a2ee918983bf32|170339|218|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:44
68dbf678b8a2ee918983bf33|170339|组选128|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:44
68dbf67fb8a2ee918983bf35|170344|172|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf36|170344|162|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf37|170344|161|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf38|170344|616|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf39|170344|615|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf3a|170344|171|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf3b|170344|717|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
68dbf67fb8a2ee918983bf3c|170344|114|1.0|{"SS0001":1.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:25:51
