69271239d47d6ab342608929|168168|独胆1|10000.0|{"ss01":10000.0}|{"aqw01":0.1,"ss01":0}|2025-11-26 22:44:09
692efa41d47d6ab342608973|168170|组六0123456789|2000.0|{"ss01":2000.0}|{"XX0101":0,"aqw55":0,"ss01":0}|2025-12-02 22:40:01
692efb06d47d6ab342608975|168170|组六0123456789|2000.0|{"ss01":2000.0}|{"XX0101":0,"aqw55":0,"ss01":0}|2025-12-02 22:43:18
69304c7bd47d6ab342608ceb|168170|组六0123456789|3000.0|{"ss01":3000.0}|{"XX0101":0,"aqw55":0,"ss01":0}|2025-12-03 22:43:07
69304c7bd47d6ab342608ced|168170|豹子全包|10.0|{"ss01":10.0}|{"XX0101":0,"aqw55":0,"ss01":0}|2025-12-03 22:43:07
69319d5575b9f19d91f30d5f|168170|组六0123456789|3000.0|{"ss01":3000.0}|{"XX0101":0,"aqw55":0,"ss01":0}|2025-12-04 22:40:21
69319e2175b9f19d91f30d61|168170|组六0123456789|3000.0|{"ss01":3000.0}|{"XX0101":0,"aqw55":0,"ss01":0}|2025-12-04 22:43:45
693834c382eeebbddf06884a|168182|组六013456789|1000.0|{"ss01":1000.0}|{"De49":0.007,"JJ01":0.002,"aqw55":0,"ss01":0}|2025-12-09 22:40:03
6938359282eeebbddf06884b|168182|组六012345789|2000.0|{"ss01":2000.0}|{"De49":0.007,"JJ01":0.002,"aqw55":0,"ss01":0}|2025-12-09 22:43:30
693835b882eeebbddf06884c|168183|和值小|1.0|{"ss01":1.0}|{"ss0077":0,"aqw55":0,"ss01":0}|2025-12-09 22:44:07
693835b882eeebbddf06884d|168183|和值大|1.0|{"ss01":1.0}|{"ss0077":0,"aqw55":0,"ss01":0}|2025-12-09 22:44:07
