68d550bd9ad78aa0f3f76c54|170344|组三01|66.0|{"SS0001":66.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:25:00
68d550d79ad78aa0f3f76c58|170344|对子66|10.0|{"SS0001":10.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:25:27
68d551009ad78aa0f3f76c5a|170344|002|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c5b|170344|008|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c5c|170344|012|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c5d|170344|013|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c5e|170344|015|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c5f|170344|018|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c60|170344|020|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c61|170344|021|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c62|170344|022|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c63|170344|023|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c64|170344|024|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c65|170344|025|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c66|170344|026|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c67|170344|027|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c68|170344|028|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c69|170344|029|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c6a|170344|031|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c6b|170344|032|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c6c|170344|038|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c6d|170344|039|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c6e|170344|042|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c6f|170344|048|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c70|170344|051|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c71|170344|052|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c72|170344|058|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c73|170344|059|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c74|170344|062|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c75|170344|068|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c76|170344|072|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c77|170344|078|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c78|170344|080|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c79|170344|081|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c7a|170344|082|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c7b|170344|083|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c7c|170344|084|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c7d|170344|085|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c7e|170344|086|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c7f|170344|087|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c80|170344|088|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c81|170344|089|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c82|170344|092|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c83|170344|093|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c84|170344|095|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c85|170344|098|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c86|170344|102|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c87|170344|103|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c88|170344|105|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c89|170344|108|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c8a|170344|112|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c8b|170344|113|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c8c|170344|115|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c8d|170344|118|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c8e|170344|120|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c8f|170344|121|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c90|170344|122|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c91|170344|123|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c92|170344|124|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c93|170344|125|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c94|170344|126|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c95|170344|127|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c96|170344|128|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c97|170344|129|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c98|170344|130|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c99|170344|131|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c9a|170344|132|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c9b|170344|133|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c9c|170344|134|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c9d|170344|135|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c9e|170344|136|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76c9f|170344|137|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca0|170344|138|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca1|170344|139|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca2|170344|142|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca3|170344|143|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca4|170344|145|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca5|170344|148|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca6|170344|150|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca7|170344|151|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca8|170344|152|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ca9|170344|153|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76caa|170344|154|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cab|170344|155|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cac|170344|156|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cad|170344|157|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cae|170344|158|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76caf|170344|159|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb0|170344|162|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb1|170344|163|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb2|170344|165|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb3|170344|168|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb4|170344|172|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb5|170344|173|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb6|170344|175|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb7|170344|178|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb8|170344|180|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cb9|170344|181|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cba|170344|182|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cbb|170344|183|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cbc|170344|184|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cbd|170344|185|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cbe|170344|186|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cbf|170344|187|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc0|170344|188|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc1|170344|189|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc2|170344|192|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc3|170344|193|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc4|170344|195|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc5|170344|198|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc6|170344|200|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc7|170344|201|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc8|170344|202|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cc9|170344|203|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cca|170344|204|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ccb|170344|205|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ccc|170344|206|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ccd|170344|207|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cce|170344|208|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ccf|170344|209|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd0|170344|210|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd1|170344|211|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd2|170344|212|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd3|170344|213|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd4|170344|214|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd5|170344|215|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd6|170344|216|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd7|170344|217|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd8|170344|218|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cd9|170344|219|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cda|170344|220|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cdb|170344|221|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cdc|170344|223|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cdd|170344|224|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cde|170344|225|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cdf|170344|226|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce0|170344|227|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce1|170344|228|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce2|170344|229|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce3|170344|230|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce4|170344|231|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce5|170344|232|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce6|170344|233|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce7|170344|234|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce8|170344|235|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ce9|170344|236|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cea|170344|237|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ceb|170344|238|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cec|170344|239|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76ced|170344|240|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cee|170344|241|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cef|170344|242|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf0|170344|243|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf1|170344|244|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf2|170344|245|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf3|170344|246|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf4|170344|247|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf5|170344|248|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf6|170344|249|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf7|170344|250|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf8|170344|251|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cf9|170344|252|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cfa|170344|253|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cfb|170344|254|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cfc|170344|255|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cfd|170344|256|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cfe|170344|257|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76cff|170344|258|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d00|170344|259|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d01|170344|260|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d02|170344|261|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d03|170344|262|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d04|170344|263|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d05|170344|264|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d06|170344|265|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d07|170344|266|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
68d551009ad78aa0f3f76d08|170344|267|1.0|{"SS0001":1.0}|{"SS0001":0.095,"xx01":0}|2025-09-25 22:26:07
